Customer ID,recency,frequency,monetary,R_score,F_score,M_score,RFM_Score,Segment,churn_risk
12346,326,12,77556.46,2,4,4,244,Need Attention,High
12347,2,8,5633.32,4,4,4,444,Champions,Low
12348,75,5,2019.4,3,3,3,333,Champions,Low
12349,19,4,4428.69,4,3,4,434,Champions,Low
12350,310,1,334.4,2,1,1,211,Lost,Low
12351,375,1,300.93,2,1,1,211,Lost,Low
12352,36,10,2849.84,3,4,4,344,Champions,Low
12353,204,2,406.76,2,2,2,222,Need Attention,Low
12354,232,1,1079.4,2,1,3,213,Lost,Low
12355,214,2,947.61,2,2,3,223,Need Attention,Low
12356,23,6,6373.68,4,3,4,434,Champions,Low
12357,33,3,18287.66,3,2,4,324,Loyal,Low
12358,2,5,3887.07,4,3,4,434,Champions,Low
12359,58,10,8935.94,3,4,4,344,Champions,Low
12360,52,8,4252.89,3,4,4,344,Champions,Low
12361,287,4,511.25,2,3,2,232,Need Attention,High
12362,3,11,5356.23,4,4,4,444,Champions,Low
12363,110,2,552.0,2,2,2,222,Need Attention,Low
12364,8,4,1313.1,4,3,3,433,Champions,Low
12365,291,2,641.38,2,2,2,222,Need Attention,Low
12366,634,1,500.24,1,1,2,112,Lost,Low
12367,4,1,168.9,4,1,1,411,Promising,Low
12368,628,1,917.7,1,1,3,113,Lost,Low
12369,413,3,1791.15,1,2,3,123,Lost,Low
12370,51,7,4320.31,3,3,4,334,Champions,Low
12371,45,5,4067.38,3,3,4,334,Champions,Low
12372,72,3,1298.04,3,2,3,323,Loyal,Low
12373,311,3,1127.65,2,2,3,223,Need Attention,Low
12374,25,4,2989.22,4,3,4,434,Champions,Low
12375,11,2,457.5,4,2,2,422,Loyal,Low
12376,390,2,503.15,1,2,2,122,Lost,Low
12377,315,4,3426.32,2,3,4,234,Need Attention,High
12378,130,2,5416.32,2,2,4,224,Need Attention,Low
12379,82,4,1620.22,3,3,3,333,Champions,Low
12380,22,11,9676.3,4,4,4,444,Champions,Low
12381,5,5,1845.31,4,3,3,433,Champions,Low
12383,185,5,1850.56,2,3,3,233,Need Attention,High
12384,29,2,585.27,3,2,2,322,Loyal,Low
12385,379,1,1938.4,2,1,3,213,Lost,Low
12386,338,2,660.8,2,2,2,222,Need Attention,Low
12387,415,1,143.94,1,1,1,111,Lost,Low
12388,16,8,3901.11,4,4,4,444,Champions,Low
12389,403,3,1433.33,1,2,3,123,Lost,Low
12390,80,1,549.84,3,1,2,312,Promising,Low
12391,22,6,2773.42,4,3,4,434,Champions,Low
12392,591,1,234.75,1,1,1,111,Lost,Low
12393,72,6,2399.45,3,3,4,334,Champions,Low
12394,64,2,1272.48,3,2,3,323,Loyal,Low
12395,19,15,5067.27,4,4,4,444,Champions,Low
12396,674,1,931.43,1,1,3,113,Lost,Low
12397,36,2,2409.9,3,2,4,324,Loyal,Low
12398,46,1,1635.66,3,1,3,313,Promising,Low
12399,119,7,1962.3,2,3,3,233,Need Attention,High
12400,414,1,205.25,1,1,1,111,Lost,Low
12401,303,1,84.3,2,1,1,211,Lost,Low
12402,323,6,1256.9,2,3,3,233,Need Attention,High
12403,50,2,1019.36,3,2,3,323,Loyal,Low
12404,682,1,63.24,1,1,1,111,Lost,Low
12405,149,1,1710.39,2,1,3,213,Lost,Low
12406,22,5,6390.36,4,3,4,434,Champions,Low
12407,50,5,1708.12,3,3,3,333,Champions,Low
12408,33,8,4340.77,3,4,4,344,Champions,Low
12409,79,7,23419.29,3,3,4,334,Champions,Low
12410,309,3,1013.71,2,2,3,223,Need Attention,Low
12411,410,1,346.9,1,1,1,111,Lost,Low
12412,75,6,2596.93,3,3,4,334,Champions,Low
12413,67,4,999.45,3,3,3,333,Champions,Low
12414,217,6,952.41,2,3,3,233,Need Attention,High
12415,24,28,144458.37,4,4,4,444,Champions,Low
12416,657,1,202.56,1,1,1,111,Lost,Low
12417,3,20,6816.91,4,4,4,444,Champions,Low
